id,dataset,question,options,correct_answer,correct_index,split_type,subject_name,topic_name,year,exam_name,student_answer,student_index
bc8659f4-3062-4f57-9e24-e32ad92a8d4e,headqa_en,Which of the following structural elements is characteristic of the ortopramide group drugs?,"{'0': 'They are anilides with propyl group in ortho.', '1': 'They are benzamides with methoxy group in ortho.', '2': 'They are benzenesulfonamides with a methyl group in ortho.', '3': 'They are ortho-halogenated derivatives of phenothiazine.', 'correct answer': 'They are ortho-halogenated derivatives of phenothiazine.'}",They are benzamides with methoxy group in ortho.,1,val,pharmacology,,2015,Cuaderno_2015_1_F,They are ortho-halogenated derivatives of phenothiazine.,3
9fcf1ab0-387c-447a-ab6c-78367b5e5282,headqa_en,For what age group is the turtle technique indicated ?:,"{'0': 'Young children (Early Childhood Education and first courses of Primary Education).', '1': 'Older children (last courses of Primary Education).', '2': 'Preadolescents (first courses of Secondary Education).', '3': 'Adolescents (last years of Secondary Education and Bachillerato).', 'correct answer': 'Older children (last courses of Primary Education).'}",Young children (Early Childhood Education and first courses of Primary Education).,0,test,psychology,,2016,Cuaderno_2016_1_P,Older children (last courses of Primary Education).,1
0ac6c5c7-9826-441a-81d5-68478e6299bb,medqa_taiwan_en,"A 56-year-old man with hypertension, diabetes, renal function creatinine 1.6 mg / dL, pre-treatment blood pressure was 170/100 mmHg. This long-term control of blood pressure in patients with the best goals Why?","{'0': '＜130/80 mmHg', '1': '150-160/90-95 mmHg', '2': '＜140/90 mmHg', '3': '＜140/85 mmHg', 'correct answer': '150-160/90-95 mmHg'}",＜130/80 mmHg,0,test,,,,,150-160/90-95 mmHg,1
a6758ac9-7608-4866-bb00-c5e7b19917d5,medmcqa,Which of the following is advantage of sub-marginal flop?,"{'0': 'Cause less gingival shrinking', '1': 'Cause Less scars', '2': 'Less intra-operative bleeding', '3': 'None of the above', 'correct answer': 'None of the above'}",Cause less gingival shrinking,0,val,Dental,None,,,None of the above,3
839de867-3100-4283-a219-ec349eee415f,medmcqa,Most impoant intracellular buffer ?,"{'0': 'Bicarbonate', '1': 'Albumin', '2': 'Phosphate', '3': 'Ammonia', 'correct answer': 'Ammonia'}",Phosphate,2,test,Physiology,,,,Ammonia,3
140d832a-b8ae-4791-aada-6fd62f313adb,medmcqa,Bonney's test is used determine ?,"{'0': 'Uterine prolapsed', '1': 'Stress urinary incontinence', '2': 'Vesicovaginal fistula', '3': 'Uteric fistula', 'correct answer': 'Uterine prolapsed'}",Stress urinary incontinence,1,test,Gynaecology & Obstetrics,,,,Uterine prolapsed,0
197feaf8-e848-4d28-9c4e-5b43b8e4ded7,medqa_in,"A 7-year-old girl is brought to the physician by her mother because of a 6-month history of worsening fatigue and frequent upper respiratory tract infections. She is at the 2nd percentile for height and 10th percentile for weight. Physical examination shows pallor, diffuse hyperpigmented macules, absence of the radial bones, and hypoplastic thumbs. Her hemoglobin concentration of 8.7 g/dL, leukocyte count is 2,500/mm3, and platelet count is 30,000/mm3. This patient's condition is most likely caused by a defect in a gene encoding a protein that is normally involved in which of the following processes?","{'0': 'Hydrolysis of glucocerebroside', '1': 'DNA interstrand crosslink repair', '2': 'Maturation of erythroid progenitor cells', '3': 'Ras signal transduction pathway', 'correct answer': 'Maturation of erythroid progenitor cells'}",DNA interstrand crosslink repair,1,dev,,,,,Maturation of erythroid progenitor cells,2
3fd34546-c589-4d68-8e0d-eca3f3caf324,medqa_in,"A 1-year-old female presents to the emergency department with 2 days of fever up to 103ºF. During the course of her work-up, a urine culture reveals gram negative rods and a urinary tract infection (UTI) is diagnosed. She is placed on ceftriaxone and quickly defervesces. Follow-up of the urine culture reveals the causal bacteria was E. coli, without any concerning resistance patterns and was susceptible to ceftriaxone. This is her first UTI and there is no family history of renal abnormalities or vesicourethral reflux. In addition to her current therapy, what additional steps should be taken during the management of this child's UTI?","{'0': 'Prophylactic antibiotic therapy to prevent future UTIs', '1': 'Voiding cystourethrogram', '2': 'Renal bladder ultrasound', '3': 'Repeat urine culture', 'correct answer': 'Repeat urine culture'}",Renal bladder ultrasound,2,dev,,,,,Repeat urine culture,3
9e5ccc5e-7716-4f99-98bd-20931299b126,medmcqa,"In medicolegal autopsy, cavity to be opened first is ?","{'0': 'Thoracic', '1': 'Abdomen', '2': 'Cervical', '3': 'Any of the above', 'correct answer': 'Thoracic'}",Any of the above,3,test,Forensic Medicine,,,,Thoracic,0
26ca6141-2cff-4f87-81a9-a3205f75acb0,medmcqa,Role of magnesium in OPV?,"{'0': 'Adjuvant', '1': 'Preservative', '2': 'Stabilizar', '3': 'Antiinfective', 'correct answer': 'Preservative'}",Stabilizar,2,test,Social & Preventive Medicine,,,,Preservative,1
